"english", "bosnian"
"indicate","naznačiti, indicirati"
"indication","naznaka"
"individual","pojedinac"
"industrial","industrijski"
"industry","industrija"
"infant","dječiji"
"infection","infekcija"
"inflation","napuhati"
"influence","utjecaj"
"inform","obavjestiti"
"information","informacija"
"ingredient","sastojci"
"initial","početni"
"initially","u početku"
"initiative","inicijativa"
"injury","ozljeda"
"inner","unutrašnji"
"innocent","nevin"
"inquiry","pitanje"
"inside","unutra"
"insight","uvid"
"insist","insistirati"
"inspire","nadahnuti, inspirisati"
"install","instalirati"
"instance","primjer"
"instead","umjesto"
"institution","institucija"
"institutional","institucionalni"
"instruction","instrukcija"
"instructor","instruktor"
"instrument","instrument"
"insurance","osiguranje"
"intellectual","intelektualac"
"intelligence","inteligencija"
"intend","namjenjen"
"intense","intenzivan"
"intensity","intenzitet"
"intention","namjera"
"interaction","interakcija"
"interest","interes"
"interested","zainteresiran"
"interesting","zanimljiv"
"internal","interni"
"international","međunarodna"
"Internet","internet"
"interpret","tumačenje"
"interpretation","tumačenje"
"intervention","intervencija"
"interview","intervju"
"into","u"
"introduce","predstaviti"
"introduction","uvod"
"invasion","invazija"
"invest","uložiti"
"investigate","istraživati"
"investigation","istraga"
"investigator","istraživač"
"investment","ulaganje"
"investor","investitor"
"invite","pozvati"
"involve","umješan"
"involved","umješan"
"involvement","učešće"
"Iraqi","irački"
"Irish","iriski"
"iron","željezo"
"Islamic","islamski"
"island","island"
"Israeli","Izrael"
"issue","pitanja"
"it","ono"
"Italian","italianski"
"item","artikal"
"its","svoj"
"itself","sebe"
"jacket","jakna"
"jail","zatvor"
"Japanese","Japanski"
"jet","mlaz"
"Jew","jevrejin"
"Jewish","jevrejski"
"job","posao"
"join","pridružiti"
"joint","zajednićki, udruženi"
"joke","vic"
"journal","časopis, dnevnik"
"journalist","novinar"
"journey","putovanje"
"joy","radost"
"judge","suditi"
"judgment","presuda, ocjena, mišljenje"
"juice","sok"
"jump","skoćiti"
"junior","mlađi"
"jury","porota"
"just","samo"
"justice","pravda"
"justify","opravdati"
"keep","zadržati"
"key","ključ"
"kick","udarac"
"kid","djete"
"kill","ubiti"
"killer","ubica"
"killing","ubijanje"
"kind","vrsta"
"king","kralj"
"kiss","poljubac"
"kitchen","kuhinja"
"knee","koljeno"
"knife","nož"
"knock","kucati"
"know","znati"
"knowledge","znanje"
"lab","laboratorija"
"label","etiketa, označiti"
"labor","rad"
"laboratory","labaratory"
"lack","nedostatak"
"lady","dama"
"lake","jezero"
"land","zemlja"
"landscape","krajolik, pejzaž"
"language","jezik"
"lap","krug"
"large","veliko"
"largely","večinom"
"last","zadnje"
"late","kasniti"
"later","kasnije"
"Latin","latinski"
"latter","kasnije"
"laugh","smijeh"
"launch","lansiranje"
"law","zakon"
"lawn","pozajmica"
"lawsuit","parnica"
"lawyer","odvjetniki, advokat"
"lay","leći"
"layer","sloj"
"lead","voditi"
"leader","vođa"
"leadership","vodstvo"
"leading","vodeći"
"leaf","list"
"league","liga"
"lean","naginjati"
"learn","učiti"
"learning","učenje"
"least","najmanje"
"leather","koža"
"leave","napustiti"
"left","lijevo"
"leg","noga"
"legacy","nasljeđe"
"legal","legalno"
"legend","legenda"
"legislation","zakonodavstvo"
"legitimate","legitimno"
"lemon","limun"
"length","dužina"
"less","manje"
"lesson","lekcija"
"let","kasnije"
"letter","pismo"
"level","nivo"
"liberal","liberalan"
"library","biblioteka"
"license","licenca"
"lie","laž"
"life","život"
"lifestyle","stil života"
"lifetime","životni vijek"
"lift","dizati"
"light","svjetlo"
"like","sviđati se"
"likely","vjerovatno"
"limit","granica"
"limitation","ograničenje"
"limited","ograničen"
"line","crta"
"link","veza"
"lip","usne"
"list","popis"
"listen","slušati"
"literally","doslovno"
"literary","književni"
"literature","književnost"
"little","malo"
"live","živjeti"
"living","živeći"
"load","opterećenje"
"loan","zajam"
"local","lokalni"
"locate","locirati"
"location","lokacija"
"lock","zaključati"
"long","dugo"
"long term","dugotrajno"
"look","gledati"
"loose","labav"
"lose","izgubiti"
"loss","gubitak"
"lost","izgubljen"
"lot","mnogo"
"lots","mnogi"
"loud","glasan"
"love","voljeti"
"lovely","dražesno"
"lover","ljubavnik"
"low","nisko"
"lower","niže"
"luck","sreća"
"lucky","sretno"
"lunch","ručak"
"lung","pluća"
"machine","mašina"
"mad","bijesan"
"magazine","magazin"
"mail","pošta"
"main","glavni"
"mainly","uglavnom"
"maintain","održavati"
"maintenance","održavanje"
"major","većinski"
"majority","većina"
"make","napraviti"
"maker","onaj koji pravi nešto"
"makeup","šminka"
"male","muško"
"mall","trgovački centar"
"man","muškarac"
"manage","upravljanje"
"management","menađment"
"manager","upravitelj, menadžer"
"manner","ponašanje, držanje"
"manufacturer","proizvoditi"
"manufacturing","proizvodnja"
"many","mnogo"
"map","mapa"
"margin","margina"
"mark","oznaka"
"market","tržište"
"marketing","marketing"
"marriage","brak"
"married","oženjen"
"marry","oženiti se"
"mask","maska"
"mass","masa"
"massive","masivan"
"master","majstor"
"match","utakmica"
"material","material"
"math","matematika"
"matter","stvar, materija"
"may","svibanj, maj"
"maybe","možda"
"mayor","gradonačelnik "
"me","mi"
"meal","obrok"
"mean","značiti "
"meaning","značenje "
"meanwhile","u međuvremenu "
"measure","mjeriti"
"measurement","mjerenje"
"meat","meso"
"mechanism","mehanizam"
"media","medij"
"medical","medicinski"
"medication","liječenje "
"medicine","lijek"
"medium","srednji"
"meet","sastati"
"meeting","sastanak"
"member","član "
"membership","članstvo"
"memory","memorija"
"mental","mentalni"
"mention","spomenuti"
"menu","izbornik, meni"
"mere","puki, prost, sam"
"merely","samo"
"mess","nered"
"message","poruka"
"metal","metal"
"meter","metar"
"method","način"
"Mexican","meksikanac"
"middle","srednji"
"might","moć"
"military","vojni"
"milk","mlijeko"
"million","milion"
"mind","um"
"mine","rudnik"
"minister","ministar"
"minor","manji"
"minority","manjina"
"minute","minuta"
"miracle","čudo"
"mirror","ogledalo"
"miss","propustiti"
"missile","raketa"
"mission","misia"
"mistake","pogreška"
"mix","mješati"
"mixture","smjesa"
"mm-hmm","mm-hmm"
"mode","način"
"model","model"
"moderate","umjeren"
"modern","moderan"
"modest","skroman"
"mom","mama"
"moment","moment"
"money","novac"
"monitor","monitor"
"month","mjesec"
"mood","raspoloženje"
"moon","mjesec"
"moral","moralan"
"more","više"
"moreover","povrh toga"
"morning","jutro"
"mortgage","hipoteka"
"most","najviše"
"mostly","većinom, uglavnom"
"mother","majka"
"motion","pokret"
"motivation","motivacija"
"motor","motor"
"mount","montiranje, postolje"
"mountain","planina"
"mouse","miš"
"mouth","usta"
"move","pomicati"
"movement","pokret"
"movie","film"
"Mr","mr"
"Mrs","gospođa"
"Ms","ms"
"much","mnogo"
"multiple","višestruk"
"murder","ubiti, ubistvo"
"muscle","misić"
"museum","muzes"
"music","muzika"
"musical","mjuzikl"
"musician","glazbenik"
"Muslim","musliman"
"must","morati"
"mutual","zajednicki"
"my","moj"
"myself","sebe"
"mystery","misterija, tajanstveno"
"myth","mit"
"naked","go"
"name","ime"
"narrative","pripovjest"
"narrow","usko, suziti"
"nation","narod"
"national","nacionalni"
"native","domaci"
"natural","prirodan"
"naturally","prirodno"
"nature","priroda"
"near","blizu"
"nearby","u blizini"
"nearly","skoro"
"necessarily","obavezno"
"necessary","potreban"
"neck","vrat"
"need","potreba"
"negative","negativno"
"negotiate","pregovarati"
"negotiation","pregovori"
"neighbor","susjed"
"neighborhood","susjednstvo"
"neither","ni, niti"
"nerve","živac"
"nervous","živčani"
"net","mreža"
"network","mreža"
"never","nikada"
"nevertheless","štaviše, dapače"
"new","novi"
"newly","novo"
"news","vijesti"
"newspaper","novine"
"next","sljedeći"
"nice","lijepo"
"night","noć"
"nine","devet"
"no","ne"
"nobody","nitko, niko"
"nod","drijemanje"
"noise","buka"
"nomination","imenovanje, nominacija"
"none","nijedan"
"nonetheless","pored toga, ipak"
"nor","ni"
"normal","normalan"
"normally","normalno"
"north","sjeverno"
"northern","sjeverni"
"nose","nos"
"node","čvor, čvorište"
"note","bilješka"
"nothing","ništa"
"notice","obavijest"
"notion","pojam"
"novel","roman"
"now","sada"
"nowhere","nigdje"
"not","ne"
"nuclear","nuklarni"
"number","broj"
"numerous","brojan"
"nurse","medicinska sestra"
"nut","orah"
"object","objekt"
"objective","cilj"
"obligation","obaveza"
"observation","zapažanje"
"observe","posmatrati"
"observer","posmatrač"
"obtain","dobiti, dobaviti"
"obvious","očigledan"
"obviously","očito"
"occasion","prilika"
"occasionally","povremeno"
"occupation","okupacija"
"occupy","zauzeti"
"occur","doći"
"ocean","ocean"
"odd","neparan"
"odds","izgledi"
"of","od"
"off","ugašeno"
"offense","prekršaj, uvreda"
"offensive","uvredljiv"
"offer","ponuda"
"office","ured"
"officer","časnik"
"official","službeno"
"often","često"
"oh","oh"
"oil","ulje"
"ok","u redu "
"okay","u redu "
"old","star"
"olympic","olimpijski"
"on","na"
"once","jednom"
"one","jedan"
"ongoing","u tijeku, tekući"
"onion","luk"
"online","na liniji"
"only","samo"
"onto","na"
"open","otvoriti"
"opening","otvor"
"operate","raditi"
"operating","radni"
"operation","operacija"
"operator","operater"
"opinion","mišljenje"
"opponent","protivnik"
"opportunity","prilika"
"oppose","suprostaviti"
"opposite","suprotan"
"opposition","opozicija"
"option","opcija"
"or","ili"
"orange","naranča"
"order","narudžba, redoslijed"
"ordinary","običan"
"organic","organski"
"organization","organizacija"
"organize","organizirati"
"orientation","orjentacija"
"origin","podrijetlo"
"original","orginal"
"originally","izvorno"
"other","drugo"
"others","drugi"
"otherwise","inace"
"ought","trebati, treba"
"our","naše"
"ourselves","sebe"
"out","van"
"outcome","ishod"
"outside","izvan"
"oven","pećinica"
"over","preko"
"overall","cjelokupni"
"overcome","savladati"
"overlook","previdjeti"
"owe","dugovati"
"own","posjedovati"
"owner","vlasnik"
"pace","tempo"
"pack","paket, spakirati"
"package","paket"
"page","stranica"
"pain","bol"
"painful","bolan"
"paint","boja, slikati"
"painter","slikar"
"painting","slikanje"
"pair","par"
"pale","blijed"
"Palestinian","palestinac"
"palm","dlan"
"pan","tava"
"panel","ploča"
"pant","dahtati"
"paper","papir"
"parent","roditelj"
"park","park, parkirati"
"parking","parking"
"part","dio"
"participant","učesnik"
"participate","sudjelovati, učestvovati"
"participation","sudjelovanje, učestvovanje"
"particular","posebno"
"particularly","naročito"
"partly","djelomično"
"partner","partner"
"partnership","partnerstvo"
"party","zabava"
"pass","proći"
"passage","prolaz"
"passenger","putnik"
"passion","strast"
"past","prošlost"
"patch","krpica, zakrpa"
"path","staza"
"patient","pacijent"
"pattern","uzorak"
"pause","pauza"
"pay","platiti"
"payment","uplata, plaćanje"
"pc","personalni kompijuter"
"peace","mir"
"peak","vrhunac"
"peer","viriti"
"penalty","kazna"
"people","ljudi"
"pepper","papar, biber"
"per","po"
"perceive","opaziti"
"percentage","postotak"
"perception","percepcija"
"perfect","savršen"
"perfectly","savršeno"
"perform","izvesti"
"performance","izvođenje, performans, učinak"
"perhaps","možda"
"period","period"
"permanent","trajan"
"permission","dopuštenje"
"permit","dozvola"
"person","osoba"
"personal","osobni"
"personality","ličnost, osobenost"
"personally","lično"
"personnel","osoblje"
"perspective","perspektiva"
"persuade","uvjeriti, ubijediti"
"pet","ljubimac"
"phase","faza"
"phenomenon","fenomen"
"philosophy","filozofija"
"phone","telefon"
"photo","foto"
"photograph","fotografirati"
"photographer","fotografer"
"phrase","fraza"
"physical","fizička"
"physically","tjelesno"
"physician","liječnik"
"piano","klavir"
"pick","ubrati, odabrati"
"picture","slika"
"pie","pita"
"piece","komad"
"pile","gomila"
"pilot","pilot"
"pine","bor"
"pink","ružičasta, roza"
"pipe","cijev"
"pitch","nagib"
"place","mjesto"
"plan","plan"
"plane","avion"
"planet","planet"
"planning","planiranje"
"plant","biljka"
"plastic","plastika"
"plate","ploča"
"platform","platforma"
"play","igrati"
"player","igrač"
"please","molim, ugoditi"
"pleasure","zadovoljstvo"
"plenty","mnogo"
"plot","zavjera, zemljište"
"plus","plus"
"PM","PM"
"pocket","paket"
"poem","pjesma"
"poet","pjesnik"
"poetry","poezija"
"point","točka"
"pole","pol"
"police","policija"
"policy","politika"
"political","politički"
"politically","političko"
"politician","političar"
"politics","politika"
"poll","anketa"
"pollution","zagađenje"
"pool","bazen"
"poor","siromašan"
"pop","pop, pući"
"popular","poularan"
"population","populacija"
"porch","veranda"
"port","luka"
"portion","dio"
"portrait","portret"
"portray","slikati"
"pose","poza"
"position","položaj"
"positive","pozitivan"
"possess","posjedovati"
"possibility","mogućnost"
"possible","moguće"
"possibly","možda"
"post","pošta"
"pot","lonac"
"potato","krumpir"
"potential","potencijal"
"potentially","potencijalno"
"pound","funta"
"pour","sipati"
"poverty","siromaštvo"
"powder","puder"
"power","vlast"
"powerful","snažan"
"practical","praktičan"
"practice","prakticirati, vježbati"
"pray","moliti"
"prayer","molitelj"
"precisely","precizno"
"predict","predvidjeti"
"prefer","preferirati"
"preference","preferirajuće"
"pregnancy","trudnoća"
"pregnant","trudna"
"preparation","priprema"
"prepare","pripremiti"
"prescription","recept"
"presence","prisutnost"
"present","predstaviti"
"presentation","prezentacija"
"preserve","sačuvati"
"president","predsjednik"
"presidential","predsjednički"
"press","tisak"
"pressure","pritisak"
"pretend","pretvarati se"
"pretty","prilično"
"prevent","spriječiti"
"previous","prijašnji"
"previously","prethodno"
"price","cijena"
"pride","ponos"
"priest","svećenik"
"primarily","najprije, primarno"
"primarily","osnovni"
"prime","glavni"
"principal","glavni, upravnik"
"principle","načelo"
"print","tisak"
"prior","prije"
"priority","prioritet"
"prison","zatvor"
"prisoner","zatvorenik"
"privacy","privatnost"
"private","privatna"
"probably","vjerojatno"
"problem","problem"
"procedure","postupak, procedura"
"proceed","nastaviti, produžiti"
"process","proces"
"produce","proizvoditi"
"producer","proizvođač"
"product","proizvod"
"production","proizvodnja"
"profession","profesija"
"professional","profesionalno"
"professor","prefesor"
"profile","profil"
"profit","zarada, profit"
"program","program"
"progress","progres"
"project","projekt"
"prominent","istaknuti"
"promise","obećanje, obećati"
"promote","promovirati"
"prompt","blagovremen, brz"
"proof","dokaz"
"proper","propisan, valjan, ispravan"
"properly","propisno, valjano"
"property","svojstvo"
"proportion","razmjer"
"proposal","prijedlog"
"propose","predložiti"
"proposed","predložen"
"prosecutor","tužilac"
"prospect","vjerovatnost"
"protect","zaštititi"
"protection","zaštita"
"protein","protein"
"protest","protest"
"proud","ponositi se"
"prove","dokazati"
"provide","opskrbiti"
"provider","snabdjevač, opskrbljivač"
"province","pokrajina"
"provision","opskrba"
"psychological","psihološki"
"psychologist","psiholog"
"psychology","psihologija"
"public","javnost"
"publication","publikacija"
"publicly","javno"
"publish","objaviti"
"publisher","izdavač"
"pull","vući"
"punishment","kazna"
"purchase","kupiti"
"pure","čist"
"purpose","svrha"
"pursue","progoniti"
"push","gurnuti"
"put","staviti"
"qualify","kvalificirati"
"quality","kvaliteta"
"quarter","četvrtina"
"quarterback","bek"
"question","pitanje"
"quick","brz"
"quickly","brzo"
"quiet","miran"
"quietly","tiho"
"quit","odustati"
"quite","dosta"
"quote","citat"
"race","rasa, trka, utrka"
"racial","rasni"
"radical","radikalno"
"radio","radio"
"rail","šina, željeznica"
"rain","kiša"
"raise","podići"
"range","opseg"
"rank","rang"
"rapid","brz"
"rapidly","brzo"
"rare","rijedak"
"rarely","rijetko"
"rate","stopa"
"rather","radije"
"rating","rejting"
"ratio","omjer"
"raw","sirov"
"reach","dohvatiti"
"react","reagirati"
"reaction","reakcija"
"read","čitati"
"reader","čitač"
"reading","čitanje"
"ready","spreman"
"real","stvaran"
"reality","stvarnost"
"realize","shvatiti"
"really","stvarno"
"reason","razlog"
"reasonable","razumno"
"recall","podsjetiti, opozvati"
"receive","dobiti"
"recent","nedavni"
"recently","nedavno"
"recipe","recept"
"recognition","prepoznavanje"
"recognize","prepoznati"
"recommend","preporučiti"
"recommendation","preporuka"
"record","snimiti"
"recording","snimanje"
"recover","oporaviti"
"recovery","oporavak"
"recruit","vrbovati, regrutovati, angažovati"
"red","crveno"
"reduce","smanjiti"
"reduction","smanjenje"
"refer","smanjenje"
"reference","upućivanje"
"reflect","odraziti"
"reflection","odraziti"
"reform","reforma"
"refugee","izbjeglica"
"refuse","odbiti"
"regard","obzir"
"regarding","u pogledu"
"regardless","bez obzira na"
"regime","režim"
"region","regija"
"regional","Regionalni"
"register","registrirati"
"regular","redovan"
"regularly","regularno"
"regulate","regulirati"
"regulation","regulacija"
"reinforce","ojačati"
"reject","odbiti"
"relate","povezati"
"relation","odnos"
"relationship","odnos"
"relative","rođak"
"relatively","relativno"
"relax","opustiti"
"release","puštanje"
"relevant","relevantan, bitan"
"relief","olakšanje"
"religion","religija"
"religious","vjerski"
"rely","osloniti"
"remain","preostati"
"remaining","preostalo"
"remarkable","izvanredan"
"remember","zapamtiti"
"remind","podsjetiti"
"remote","udaljen, daljinski"
"remove","ukloniti"
"repeat","ponoviti"
"repeatedly","u više navrata"
"replace","zamijeniti"
"reply","odgovor"
"report","izvješće"
"reporter","reporter"
"represent","predstavljati"
"representation","prikaz"
"representative","predstavnik"
"Republican","Republikanac"
"reputation","ugled"
"request","zahtjev"
"require","zahtijevati"
"requirement","zahtjev"
"research","istraživanje"
"researcher","istraživač"
"resemble","ličiti"
"reservation","rezervacija"
"resident","rezidencija"
"resist","odoljeti"
"resistance","otpornost"
"resolution","rezolucija, odluka"
"resolve","riješiti"
"resort","banja, odmaralište"
"resource","resurs"
"respect","poštovanje"
"respond","odgovoriti"
"respondent","tuženik, ispitanik"
"response","odgovor"
"responsibility","odgovornost"
"responsible","odgovoran"
"rest","odmor"
"restaurant","restoran"
"restore","vratiti, povratiti"
"restriction","ograničenje"
"result","proizlaziti, rezultirati"
"retain","zadržati"
"retire","povući"
"retirement","povlačenje"
"return","povratak"
"reveal","otkriti"
"revenue","prihod"
"review","pregled"
"revolution","revolucija"
"rhythm","ritam"
"rice","riža"
"rich","bogat"
"rid","osloboditi"
"ride","vožnja"
"rifle","puška"
"right","pravo, tačno"
"ring","prsten, zvoniti, zvono"
"rise","ustati"
"risk","rizik"
"river","rijeka"
"road","put"
"rock","stijena"
"role","uloga"
"roll","svitak"
"romantic","romantičan"
"roof","krov"
"room","soba"
"root","korijen"
"rope","uže"
"rose","ruža"
"rough","grub, hrapav"
"roughly","grubo"
"round","krug"
"route","put"
"routine","rutina"
"row","red"
"rub","trljati"
"rule","pravilo"
"run","trčati"
"running","trčanje"
"rural","ruralno"
"rush","žuriti, navala"
"Russian","ruski"
"sacred","sveto"
"sad","tužan"
"safe","siguran, sef"
"safety","sigurnosni"
"sake","korist"
"salad","salata"
"salary","plaća"
"sale","prodaja"
"sales","prodajni"
"salt","sol"
"same","isto"
"sample","uzorak"
"sanction","sankcija"
"sand","pijesak"
"satellite","satelit"
"satisfaction","zadovoljstvo"
"satisfy","zadovoljiti"
"sauce","umak"
"save","spremiti, sačuvati, pokreniti, simiti"
"saving","spremanje, snimanje"
"say","reci"
"scale","ljestvica"
"scandal","skandal"
"scared","prestrašen"
"scenario","scenario"
"scene","scena"
"schedule","raspored"
"scheme","šeme"
"scholar","učenjak"
"scholarship","stipendija"
"school","škola"
"science","znanost, nauka"
"scientific","znanstveno, naučno"
"scientist","naučnik"
"scope","djelokrug"
"score","postići"
"scream","vrisak"
"screen","zaslon, ekran"
"script","skripta"
"sea","more"
"search","potražiti"
"season","sezona"
"seat","sjedalo"
"second","sekunda"
"secret","tajna"
"secretary","tajnica"
"section","odjeljeak"
"sector","sektor"
"secure","siguran"
"security","obezbjeđenje"
"see","vidjeti"
"seed","sjeme"
"seek ","tražitit"
"seem","činiti se"
"segment","segment"
"seize","veličina"
"select","odabrati"
"selection","odabir"
"self","sam"
"sell","prodati"
"Senate","senat "
"senator","senator"
"send","poslati"
"senior","stariji"
"sense","osjećaj"
"sensitive","osjećajan"
"sentence","rečenica"
"separate","odvojen"
"sequence","sekvenca"
"series","niz"
"serious","ozbiljan"
"seriously","ozbiljno"
"serve","poslužiti"
"service","servis"
"session","sjednica"
"set","postaviti"
"setting","postavka"
"settle","smjestiti se"
"settlement","naselje"
"seven","sedam"
"several","nekoliko"
"severe","strog, žestok"
"sex","sex"
"sexual","seksualan"
"shade","hlad"
"shadow","sijena"
"shake","tresti"
"shall","treba"
"shape","oblik"
"share","podijeliti, udio"
"sharp","oštar"
"she","ona"
"sheet","list"
"shelf","polica"
"shell","ljuska"
"shelter","sklonište"
"shift","smjena"
"shine","sjaj, sijati"
"ship","brod"
"shirt","košulja"
"shit","obavljati veliku nuždu, govno"
"shock","šok"
"shoe","cipele"
"shoot","pucati"
"shooting","pucanje"
"shop","kupovati"
"shopping","kupovina"
"shore","obala"
"short","kratko"
"shortly","ukratko, obrzo"
"shot","šut, pogodak"
"should","treba"
"shoulder","rame"
"shout","vikati"
"show","pokazati"
"shower","tuširanje"
"shrug","slijeganje"
"shut","zatvoriti"
"sick","bolestan"
"side","strana"
"sigh","uzdah"
"sight","vid"
"sign","znak"
"signal","signal"
"significance","značaj"
"significant","značajan"
"significantly","značajno"
"silence","tisina"
"silent","tih"
"silver","srebro"
"similar","sličan"
"similarly","slično"
"simple","jednostavan"
"simply","jednostavno"
"sin","grijeh"
"since","od, otkako"
"sing","pjevati"
"singer","pjevač"
"single","sam"
"sink","umivaonik"
"sir","gospodin"
"sister","sestra"
"sit","sjesti"
"site","mjesto"
"situation","situacija"
"six","šest"
"size","veličina"
"ski","skijati"
"skill","skil"
"skin","koža"
"sky","nebo"
"slave","rob"
"sleep","spavati"
"slice","kriska"
"slide","klizanje"
"slight","malo"
"slightly","malo, neznatno"
"slip","skliznut"
"slow","sporo"
"slowly","polako"
"small","malen"
"smart","pametan"
"smell","miris"
"smile","osmijeh"
"smoke","dim"
"smooth","glatko"
"snap","puckanje"
"snow","snijeg"
"so","tako "
"so called","takozvani"
"soccer","futbal"
"social","socijalni"
"society","društvo"
"soft","mekan"
"software","softver"
"soil","tlo"
"solar","solarni"
"soldier","vojnik"
"solid","solidan, čvrst"
"solution","riješenje"
"solve","riješiti"
"some","neki, malo, nekakav"
"somebody","neko"
"somehow","nekako"
"someone","neko"
"something","nešto"
"sometimes","ponekad"
"somewhat","nešto"
"somewhere","negdje"
"son","sin"
"song","pjesma"
"soon","uskoro"
"sophisticated","soficirana"
"sorry","oprosti, žalostan"
"sort","sortirati"
"soul","duša"
"sound","zvuk"
"soup","juha"
"source","izvor"
"south","jug"
"southern","južni"
"Soviet","sovjetski"
"space","svemir, prostor"
"Spanish","Španski"
"speak","govoriti"
"speaker","govornik"
"special","posebno"
"specialist","specialist"
"species","vrsta"
"specific","specifično"
"specifically","posebno"
"speech","govor "
"speed","brzina"
"spend","potrošiti"
"spending","trošiti"
"spin","zavrtiti"
"spirit","duh "
"spiritual","duhovni"
"split","podjela"
"spokesman","govornik"
"sport","sport"
"spot","mijesto, primjetiti"
"spread","širiti, proširiti"
"spring","proljeće"
"square","kvadrat"
"squeeze","iscijediti"
"stability","stabilnost"
"stable","stabilan"
"staff","osoblje"
"stage","faza"
"stair","stepenik"
"stake","ulog"
"stand","stajati, štand"
"standard","standard"
"standing","stajati"
"star","zvijezda"
"stare","buljiti"
"start","start"
"state","država"
"statement","izjava"
"station","postaja"
"statistics","statistika"
"status","status"
"stay","ostati"
"steady","postojan, stalan, odmjeren"
"steal","ukrasti"
"steel","željezo"
"step","korak"
"stick","zalijepiti"
"still","još uvijek, mirno, ipak"
"stir","promješati"
"stock","zaliha, skladište"
"stomach","trbuh, stomak"
"stone","kamen"
"stop","stop"
"storage","skladište"
"store","trgovina"
"storm","oluja"
"story","priča"
"straight","ravno, pravo"
"strange","čudan"
"stranger","stranac"
"strategic","strateški"
"strategy","strategija"
"stream","tok"
"street","ulica"
"strength","snaga"
"strengthen","ojačati"
"stress","stres"
"stretch","rastegnuti"
"strike","štajk"
"string","žica, niz"
"strip","traka"
"stroke","udar"
"strong","jak"
"strongly","snažno"
"structure","struktura"
"struggle","borba"
"student","učenik"
"studio","studio"
"study","učiti"
"stuff","stvari"
"stupid","glup"
"style","stil"
"subject","predmet"
"submit","podnijeti"
"subsequent","slijedeći"
"substance","supstanca"
"substantial","znatan"
"succeed","uspjeti"
"success","uspjeh"
"successful","uspješan"
"successfully","uspješno"
"such","takav"
"sudden","naglo"
"suddenly","odjednom"
"sue","tužiti"
"suffer","patiti"
"sufficient","dovoljno"
"sugar","šećer"
"suggest","predložiti"
"suggestion","sugestia"
"suicide","samoubistvo"
"suit","odjelo"
"summer","ljeto"
"summit","skup, okupljanje"
"sun","sunce"
"super","super"
"supply","zalihe"
"support","podrška"
"supporter","navijač, pobornik"
"suppose","predpostaviti"
"supposed","navodni, predpostavljeno"
"Supreme","superiorno"
"sure","naravno, sigurno"
"surely","sigurno"
"surface","površina"
"surgery","operacija"
"surprise","iznenađenje"
"surprised","iznenađen"
"surprising","iznenađujuće"
"surprisingly","iznenađujuće"
"surround","opkoliti"
"survey","anketa"
"survival","preživljavanje"
"survive","preživjeti"
"survivor","preživjeli"
"suspect","sumnjati"
"sustain","suzdržati se"
"swear","psovati"
"sweep","pomesti"
"sweet","slatk"
"swim","plivati"
"swing","zamahnuti"
"switch","zamijeti"
"symbol","simbol"
"symptom","simptom"
"system","sistem"
"table","stol"
"tablespoon","kašika, žlica"
"tactic","taktika"
"tail","rep"
"take","uzeti"
"tale","pripovjetka, bajka"
"talent","talent"
"talk","razgovor"
"tall","visok"
"tank","sipati"
"tap","slavina"
"tape","vrpca"
"target","meta"
"task","zadatak"
"taste","okus"
"tax","porez "
"taxpayer","porezni obveznik"
"tea","čaj"
"teach","podučavati"
"teacher","učitelj "
"teaching","podučavanje"
"team","tim"
"tear","suza"
"teaspoon","čajna žlica, kašika"
"technical","tehničkih "
"technique","tehnika"
"technology","tehnologija"
"teen","tinedjerski"
"teenager","tinedžer"
"telephone","telefon"
"telescope","teleskop"
"television","tevezor"
"tell","reći"
"temperature","temperatura"
"temporary","privremeno"
"ten","deset"
"tend","namjeravati, naginjati"
"tendency","namjera"
"tennis","tenis"
"tension","napetost"
"tent","šator"
"term","termin"
"terms","uvijeti"
"terrible","užasan"
"territory","terirorij"
"terror","teror"
"terrorism","terorizam"
"terrorist","terosrist"
"test","test "
"testify","svjedočiti"
"testimony","svjedočenje"
"testing","testiranje"
"text","tekst"
"than","od "
"thank","zahvaliti"
"thanks","hvala"
"that","ovo"
"the","clan d"
"theater","kazalište, pozorište"
"their","njihovo"
"them","njih"
"theme","tema"
"themselves","njih"
"then","onda"
"theory","teorija"
"therapy","terapija"
"there","tamo"
"therefore","stoga"
"these","ovi"
"they","oni"
"thick","gust"
"thin","tanko"
"thing","stvar"
"think","misliti"
"thinking","misliti"
"third","treći"
"thirty","trideset"
"this","ovo"
"those","one"
"though","iako"
"thought","misao"
"thousand","tisuća, hiljada"
"threat","prijetnja"
"threaten","prijeteći"
"three","tri"
"throat","grlo"
"through","kroz"
"throughout","kroz"
"throw","baciti"
"thus","tako "
"ticket","karta"
"tie","kravata"
"tight","tijesan, čvrst"
"time","vrijeme"
"tiny","sićušno"
"tip","natuknica"
"tire","guma"
"tired","umoran"
"tissue","maramice"
"title","naslov"
"to","prema"
"tobacco","duhan"
"today","danas"
"toe","nožni prst"
"together","zajedno"
"tomato","paradijiz"
"tomorrow","sutra"
"tone","ton"
"tongue","jezik"
"tonight","večeras"
"too","takodjer"
"tool","alat"
"tooth","zubi"
"top","vrh"
"topic","tema"
"toss","baciti"
"total","suma"
"totally","totalno"
"touch","dodirnuti"
"tough","tvrd"
"tour","obilazak"
"tourist","turist"
"tournament","turnir"
"toward","prema"
"towards","prema"
"tower","toranj"
"town","grad"
